Name,ID,Copies,Type,Tier,Cost,Requirements,Effect,Ability,Special,Max Tech
Muscle Merc,muscle,12,Agent,1,$3,,💪,Primed,Always available to buy,1
Shadow Merc,shadow,12,Agent,1,$4,,🥸,Primed,Always available to buy,1
Doorkicker,doorkicker,6,Agent,2,$5,,💪🔑,,,1
Reputable Driver,driver,6,Agent,2,$5,,🥸🚘,,,1
Sentinel,sentinel,4,Agent,3,$6,,🥸💪,Defender,,1
Speedboat Mechanic,mechanic,3,Agent,3,$8,,💪💪🚘,,,2
Scuba Infiltrator,scuba,3,Agent,3,$10,,🚘🚘🔑,,,2
Hoodied Hacker,hacker,3,Agent,3,$10,,🔑🔑🥸,,,2
Savvy Saboteur,saboteur,3,Agent,3,$8,,🥸🥸💪,,,2
Codename Jack,jack,1,Agent,4,$12,,💪🥸🚘🔑,,,2
The Chameleon,chameleon,1,Agent,4,$12,,🥸🥸🥸🔑,,,2
Sly Racoon,racoon,1,Agent,4,$12,,🔑🔑🔑🚘,,,2
Safe House,safe_house,0,Base,0,0,,,Indestructible,Starter,
Red Tape,red_tape,16,Hazard,0,0,,,Does nothing,,
Slap Contest,slap,5,Mission,1,,💪💪,🥸,,,
Narrow Getaway,getaway,5,Mission,1,,🚘💪,1⭐$1,,,
Arm Wrestling,wrestling,5,Mission,1,,💪🥸 ,🚘,,,
Convent Secrets,convent,5,Mission,1,,🥸🔑,1⭐$1 🚘,,,
Gate Hacking,gate,5,Mission,1,,🔑🚘,2⭐🥸,,,
Train Hijinx,hijinx,3,Mission,2,,🚘🚘🥸❓,4⭐ 🔑💪,,,
Fencing Duel,duel,3,Mission,2,,💪💪🔑❓,4⭐🥸🥸,,,
Traveling Troupe,troupe,3,Mission,2,,🥸🥸🚘❓,4⭐🥸🔑,,,
Retinal Scan,retinal,3,Mission,2,,🔑🔑🥸❓,4⭐🔑🚘,,,
Cargo Interception,cargo,2,Mission,3,,🚘🚘🚘🔑💪❓,9⭐,,,
Rooftop Showdown,rooftop,2,Mission,3,,💪💪💪🚘🚘❓,9⭐,,,
Megastar Machinations,megastar,2,Mission,3,,🥸🥸🥸💪🔑❓,9⭐,,,
Embassy Safe,embassy,2,Mission,3,,🔑🔑🔑🥸🚘❓,9⭐,,,
Heist,heist,1,Mission,,,❓,💎1-3,,Permanently available,
Offshore Investment,offshore,8,Money,1,$3,,"$2, +1 Buy",,,
Orbital Investment,orbital,5,Money,2,$7,,"$3, +1 Buy",,,
Burn Notice,burn,5,Plot,2,$4,,"Trash a card from your play, discard, or hand areas",,,
Paperwork,paperwork,3,Plot,2,$5,,"$1, Attack (❓): players gain a Red Tape",,,
Burglary,burglary,3,Plot,2,$7,,"$2, Attack (💪/🚘): players discard down to 3 cards",,,
Para-drop,paradrop,5,Plot,2,$6,,Draw two cards,,,
Multitasking,multitasking,2,Plot,2,$6,,"$2, +1 op",,,
Training Procedure,training,3,Plot,2,$6,,"Trash an agent from your play, hand or discard areas to gain an agent costing up to $3 more from the market directly to your hand",,,
Sword-cane,swordcane,3,Tech,1,$3,,💪🥸 ,,,
Bazooka,bazooka,2,Tech,2,$5,,💪💪💪,,,
Ram,ram,3,Tech,1,$3,,🚘🔑,,,
Holo-projector,holoprojector,2,Tech,2,$6,,🥸🥸🥸,,,
Drone,drone,3,Tech,1,$4,,🔑🔑,,,
Hacking Deck,hackingdeck,2,Tech,2,$8,,🔑🔑🔑,,,
Grappling Hook,grapplinghook,2,Tech,2,$6,,💪🔑🚘,,,
Fake Passports,passports,3,Tech,1,$4,,🔑🥸,,,
Motorbike,motorbike,3,Tech,1,$4,,🚘🚘,,,
Limousine,limousine,3,Tech,1,$6,,🚘🚘🥸,,,
Attack Helicopter,helicopter,2,Tech,2,$8,,🚘🚘🚘💪,,,
$1,singles,24,Money,0,0,,$1,,,
